oa_code,All households,No adults in employment in household: With dependent children,No adults in employment in household: No dependent children,Dependent children in household: All ages,Dependent children in household: Aged 0 to 4,One or more persons in household with a long-term health problem or disability: With dependent children,One or more persons in household with a long-term health problem or disability: No dependent children
S92000003,2372777,93152,771833,616489,237103,135831,686661
S00088956,74,1,9,41,21,7,8
S00088957,26,0,7,4,1,1,7
S00088958,27,0,2,18,2,1,2
S00088959,32,0,2,10,7,0,6
S00088960,23,0,2,8,3,0,3
S00088961,22,0,5,5,3,2,5
S00088962,26,0,5,13,3,2,4
S00088963,33,0,6,13,8,2,6
S00088964,33,0,4,11,6,1,6
S00088965,58,2,12,18,6,3,14
S00088966,50,3,13,13,7,3,11
S00088967,22,0,3,6,1,1,4
S00088968,21,0,4,7,1,1,5
S00088969,56,0,6,18,6,4,8
S00088970,48,0,8,10,3,1,5
S00088971,41,0,8,9,4,0,5
S00088972,75,0,8,8,5,0,3
S00088973,71,3,25,17,7,3,19
S00088974,59,6,18,13,1,5,11
S00088975,39,0,3,6,3,2,3
S00088976,45,0,6,2,0,0,4
S00088977,40,0,13,0,0,0,0
S00088978,33,1,8,3,1,2,2
S00088979,49,1,6,3,2,1,2
S00088980,45,0,10,1,1,0,7
S00088981,43,1,9,3,1,1,12
S00088982,39,0,8,1,1,0,5
S00088983,44,1,26,3,1,0,18
S00088984,44,0,22,0,0,0,19
S00088985,50,0,5,4,4,0,6
S00088986,77,1,11,1,0,1,7
S00088987,37,0,7,1,0,0,5
S00088988,57,1,21,4,3,1,22
S00088989,51,0,13,5,3,1,4
S00088990,63,1,13,4,3,1,11
S00088991,81,1,15,3,2,1,7
S00088992,72,0,55,1,0,0,46
S00088993,61,0,10,13,9,1,4
S00088994,34,1,7,3,2,0,4
S00088995,36,0,7,1,1,0,2
S00088996,41,2,17,10,1,5,12
S00088997,67,1,12,18,6,2,8
S00088998,57,1,3,19,13,1,2
S00088999,54,0,9,12,6,1,5
S00089000,89,1,12,3,1,0,7
S00089001,55,1,16,10,2,1,15
S00089002,53,1,9,19,7,4,8
S00089003,43,0,6,9,8,0,7
S00089004,51,0,6,10,7,0,6
S00089005,56,0,15,21,9,6,10
S00089006,42,1,5,16,4,2,4
S00089007,62,1,9,11,5,0,5
S00089008,48,0,1,1,0,0,0
S00089009,61,0,4,8,7,1,1
S00089010,67,0,6,11,5,2,8
S00089011,86,0,24,9,7,0,13
S00089012,61,1,11,4,4,0,9
S00089013,41,0,3,4,4,0,3
S00089014,67,0,9,8,4,0,10
S00089015,54,0,2,3,2,0,1
S00089016,54,1,7,3,2,2,7
S00089017,50,1,2,2,1,0,0
S00089018,54,0,9,12,8,0,9
S00089019,70,0,9,11,7,1,11
S00089020,48,0,6,5,3,0,4
S00089021,45,0,8,7,4,1,9
S00089022,52,1,5,4,4,0,8
S00089023,48,1,9,8,5,1,9
S00089024,47,0,9,1,1,0,3
S00089025,48,0,8,0,0,0,4
S00089026,44,0,3,1,1,0,2
S00089027,71,0,9,1,0,0,8
S00089028,59,0,7,0,0,0,3
S00089029,59,1,6,3,3,0,9
S00089030,48,0,3,2,1,0,1
S00089031,80,0,9,9,4,0,6
S00089032,30,1,3,7,4,2,3
S00089033,51,0,8,4,2,0,10
S00089034,34,0,7,4,1,0,7
S00089035,73,1,18,8,4,0,12
S00089036,39,0,4,3,2,0,3
S00089037,54,2,5,7,4,0,5
S00089038,39,0,4,2,2,0,3
S00089039,44,0,8,5,4,1,9
S00089040,39,5,7,18,8,1,8
S00089041,70,1,15,14,4,4,15
S00089042,28,1,8,12,7,3,8
S00089043,59,9,8,32,15,4,14
S00089044,34,4,4,10,4,5,8
S00089045,36,3,13,11,3,4,11
S00089046,43,0,9,8,4,1,12
S00089047,52,0,12,9,5,2,11
S00089048,46,0,17,7,5,3,17
S00089049,53,1,14,13,5,3,16
S00089050,48,2,13,14,6,3,9
S00089051,71,2,10,13,5,0,18
S00089052,70,2,17,10,6,1,21
S00089053,68,5,11,12,7,5,9
S00089054,48,0,6,4,3,0,4
S00089055,57,0,13,1,1,0,15
S00089056,50,0,4,2,1,0,1
S00089057,57,1,23,3,2,0,20
S00089058,70,0,18,3,1,0,18
S00089059,39,0,6,1,1,0,9
S00089060,38,1,6,6,6,1,5
S00089061,41,0,7,8,7,0,4
S00089062,32,0,10,2,2,0,8
S00089063,48,3,3,8,8,1,4
S00089064,55,1,17,5,3,0,14
S00089065,67,4,12,8,3,0,14
S00089066,39,0,13,3,2,0,12
S00089067,52,0,11,8,5,2,10
S00089068,42,1,4,6,2,1,3
S00089069,32,0,7,6,6,0,5
S00089070,71,1,14,10,5,1,12
S00089071,57,0,23,5,3,0,24
S00089072,73,0,19,9,4,1,9
S00089073,63,0,20,2,2,0,18
S00089074,75,1,16,14,6,0,12
S00089075,46,0,5,9,7,1,3
S00089076,75,4,28,9,5,2,20
S00089077,55,3,9,7,3,3,10
S00089078,31,0,19,4,3,0,15
S00089079,25,2,5,10,4,2,9
S00089080,42,10,7,22,8,7,6
S00089081,50,0,23,3,2,1,16
S00089082,44,1,21,9,3,2,20
S00089083,53,5,12,15,4,2,18
S00089084,47,4,13,14,6,5,11
S00089085,54,7,13,19,10,3,14
S00089086,38,2,10,9,3,3,17
S00089087,75,4,24,16,7,3,19
S00089088,45,1,17,9,4,2,17
S00089089,55,1,15,14,4,3,16
S00089090,52,5,16,14,9,4,15
S00089091,49,9,10,27,8,6,11
S00089092,53,8,7,30,8,7,8
S00089093,78,6,22,24,10,7,21
S00089094,40,5,13,15,4,5,11
S00089095,51,5,12,21,10,6,11
S00089096,40,6,8,19,9,2,6
S00089097,47,3,13,11,4,1,11
