oa_code,All people,No condition,One or more conditions,Deafness or partial hearing loss,Blindness or partial sight loss,Learning disability,Learning difficulty,Developmental disorder,Physical disability,Mental health condition,Other condition
S92000003,5295403,3710676,1584727,350954,125660,26349,106154,31712,355182,232943,988430
S00088956,230,193,37,4,1,1,4,1,4,3,27
S00088957,66,48,18,3,0,0,1,0,5,2,10
S00088958,90,80,10,2,1,0,1,0,1,0,5
S00088959,83,71,12,4,0,0,2,0,1,1,6
S00088960,68,62,6,1,0,0,0,0,0,0,5
S00088961,217,109,108,17,5,57,17,19,16,14,36
S00088962,86,72,14,3,0,0,1,1,0,2,9
S00088963,89,69,20,6,1,1,1,0,6,3,9
S00088964,88,68,20,5,0,0,0,0,0,2,14
S00088965,144,104,40,11,3,0,3,0,7,3,23
S00088966,120,97,23,3,1,0,3,0,6,4,17
S00088967,52,40,12,3,0,1,1,0,1,1,7
S00088968,56,44,12,2,0,0,1,0,3,2,8
S00088969,154,115,39,11,2,0,4,0,3,3,26
S00088970,105,88,17,4,0,0,1,2,1,1,13
S00088971,78,69,9,3,1,0,0,0,3,2,7
S00088972,129,114,15,1,1,0,0,0,1,2,12
S00088973,144,103,41,8,0,0,1,1,6,3,31
S00088974,120,75,45,7,1,1,3,1,10,12,30
S00088975,77,65,12,2,0,0,2,0,2,3,7
S00088976,69,56,13,2,0,0,0,0,2,2,9
S00088977,60,56,4,0,0,0,0,0,0,1,3
S00088978,60,48,12,2,0,0,3,0,1,1,5
S00088979,85,76,9,0,0,0,2,0,0,1,6
S00088980,66,50,16,0,0,0,1,0,4,7,11
S00088981,57,33,24,2,0,0,3,2,3,11,12
S00088982,66,54,12,3,1,0,2,0,1,2,6
S00088983,65,37,28,5,4,1,2,1,6,4,18
S00088984,55,28,27,5,0,0,1,0,10,7,18
S00088985,80,64,16,1,0,0,0,0,3,4,9
S00088986,131,112,19,0,1,0,3,1,2,4,10
S00088987,63,56,7,0,0,0,0,0,1,3,4
S00088988,67,36,31,3,0,2,5,2,4,15,13
S00088989,95,86,9,3,1,0,1,1,0,2,4
S00088990,107,94,13,2,2,1,1,0,3,5,7
S00088991,127,106,21,1,2,0,5,0,1,4,10
S00088992,541,415,126,32,21,1,17,2,40,24,67
S00088993,123,100,23,0,0,0,1,0,1,0,21
S00088994,57,46,11,2,1,0,1,1,1,1,6
S00088995,62,52,10,1,0,0,0,0,1,2,7
S00088996,102,70,32,8,3,1,3,0,9,2,15
S00088997,152,128,24,3,1,0,0,0,4,3,18
S00088998,126,112,14,2,0,0,3,0,1,0,9
S00088999,123,98,25,2,2,0,1,0,2,2,19
S00089000,120,105,15,1,2,0,1,0,3,1,12
S00089001,115,87,28,10,2,0,0,0,5,2,17
S00089002,135,105,30,6,3,2,2,0,4,2,18
S00089003,118,76,42,8,8,0,3,0,25,12,32
S00089004,97,76,21,3,1,0,1,0,2,2,16
S00089005,133,99,34,12,2,1,1,1,7,4,24
S00089006,104,85,19,6,0,0,3,0,1,1,12
S00089007,122,105,17,1,2,0,6,0,2,3,7
S00089008,73,68,5,0,0,0,1,0,0,1,3
S00089009,106,97,9,1,0,0,1,0,1,0,7
S00089010,129,107,22,3,2,0,2,0,3,1,16
S00089011,155,121,34,6,3,0,5,1,3,8,20
S00089012,117,99,18,3,2,0,0,1,3,4,10
S00089013,69,59,10,3,1,0,2,1,0,2,3
S00089014,117,100,17,2,0,0,1,0,3,1,14
S00089015,93,84,9,2,0,0,0,0,0,1,6
S00089016,90,70,20,5,0,0,1,0,4,2,11
S00089017,83,77,6,0,0,0,3,0,0,0,3
S00089018,148,128,20,5,3,1,3,0,2,1,10
S00089019,134,103,31,4,1,0,4,0,4,4,20
S00089020,79,69,10,1,1,0,0,0,1,1,8
S00089021,83,69,14,2,1,0,0,2,1,4,7
S00089022,96,63,33,4,3,0,6,0,3,10,23
S00089023,99,76,23,10,4,2,4,0,4,3,8
S00089024,65,53,12,1,1,0,6,0,1,2,5
S00089025,63,51,12,2,1,0,1,0,1,5,8
S00089026,67,58,9,3,0,0,4,0,0,1,2
S00089027,107,87,20,3,1,1,3,1,0,3,10
S00089028,78,68,10,1,0,0,4,0,0,2,5
S00089029,82,64,18,5,3,0,3,0,2,2,11
S00089030,66,58,8,1,1,0,4,0,0,2,1
S00089031,143,126,17,4,0,0,3,0,2,4,9
S00089032,84,65,19,1,0,0,4,0,2,6,12
S00089033,95,74,21,5,0,0,1,0,4,4,16
S00089034,58,48,10,2,0,0,2,0,3,0,6
S00089035,106,80,26,4,1,1,5,1,4,6,15
S00089036,67,59,8,0,1,0,1,0,1,1,5
S00089037,87,71,16,2,1,0,2,0,2,2,8
S00089038,58,50,8,0,0,0,2,0,1,4,5
S00089039,80,57,23,1,0,0,5,0,1,4,17
S00089040,91,66,25,5,1,0,6,0,1,6,11
S00089041,225,102,123,20,18,4,4,4,12,13,102
S00089042,68,44,24,3,2,0,4,3,4,6,13
S00089043,148,119,29,3,2,0,5,0,7,5,15
S00089044,71,56,15,1,2,0,2,1,3,3,9
S00089045,73,47,26,5,1,0,2,1,7,1,18
S00089046,248,147,101,20,10,0,14,0,19,35,46
S00089047,110,87,23,4,2,0,1,0,6,2,16
S00089048,91,62,29,5,3,0,0,1,5,2,19
S00089049,130,90,40,14,4,0,1,0,9,8,27
S00089050,108,74,34,5,7,0,4,1,8,3,19
S00089051,146,111,35,8,1,0,5,1,6,5,25
S00089052,148,107,41,8,1,0,2,0,10,2,26
S00089053,114,84,30,2,2,0,3,0,4,7,15
S00089054,76,70,6,2,0,0,1,0,0,1,3
S00089055,86,66,20,1,2,0,3,0,5,7,13
S00089056,71,58,13,2,0,0,0,0,0,3,8
S00089057,85,59,26,1,2,0,3,0,5,10,11
S00089058,96,69,27,3,1,0,5,0,7,16,8
S00089059,55,44,11,2,1,0,0,0,2,5,6
S00089060,61,45,16,1,1,0,4,1,2,5,7
S00089061,75,58,17,3,2,0,1,0,0,1,10
S00089062,53,42,11,0,2,0,3,0,2,5,8
S00089063,83,73,10,0,0,0,3,0,0,1,7
S00089064,84,64,20,5,2,0,0,0,6,1,12
S00089065,95,70,25,2,2,0,7,0,5,12,14
S00089066,64,41,23,3,2,0,4,0,3,6,14
S00089067,108,90,18,1,0,0,4,1,0,4,9
S00089068,73,64,9,2,1,1,3,1,3,3,7
S00089069,60,47,13,1,0,0,1,1,1,5,6
S00089070,127,105,22,4,1,1,1,0,5,8,10
S00089071,88,54,34,10,5,2,5,0,14,5,20
S00089072,113,90,23,4,0,0,2,0,1,8,12
S00089073,94,70,24,1,0,0,5,0,4,10,11
S00089074,145,116,29,7,5,0,3,0,6,4,13
S00089075,87,74,13,2,2,0,2,0,3,3,5
S00089076,113,80,33,4,0,1,1,1,11,9,22
S00089077,90,65,25,0,0,0,2,1,3,8,14
S00089078,52,30,22,9,2,1,2,0,6,4,14
S00089079,61,43,18,3,1,0,0,1,6,4,7
S00089080,100,76,24,0,3,0,1,0,7,6,13
S00089081,74,43,31,6,1,0,0,0,6,4,27
S00089082,82,45,37,7,3,0,1,1,13,6,20
S00089083,120,88,32,5,1,0,1,0,7,4,27
S00089084,100,66,34,7,3,0,1,0,3,3,28
S00089085,121,88,33,3,1,0,1,1,10,7,21
S00089086,100,66,34,5,2,3,2,1,9,9,18
S00089087,141,105,36,7,3,0,1,0,9,6,18
S00089088,93,68,25,5,3,1,1,0,8,2,17
S00089089,110,82,28,6,5,0,3,1,7,3,17
S00089090,126,98,28,5,2,0,2,0,4,4,18
S00089091,150,120,30,3,1,5,5,3,5,5,16
S00089092,171,131,40,5,3,0,8,2,5,7,23
S00089093,166,112,54,8,8,0,6,1,9,12,27
S00089094,90,66,24,3,1,1,1,0,9,4,15
S00089095,119,97,22,0,2,0,2,1,10,4,17
S00089096,97,78,19,4,0,1,3,0,4,4,11
S00089097,83,59,24,4,3,0,3,0,3,4,16
S00089098,82,68,14,1,1,0,4,1,4,4,6
S00089099,120,92,28,7,1,0,0,1,6,5,14
S00089100,101,71,30,9,3,0,1,1,6,5,16
S00089101,75,56,19,1,1,0,2,1,2,4,11
S00089102,86,73,13,4,3,0,0,1,2,3,6
S00089103,89,66,23,3,0,0,3,0,3,7,13
S00089104,67,50,17,2,2,0,0,0,4,4,11
S00089105,96,61,35,6,3,0,2,1,4,4,22
S00089106,89,65,24,2,0,0,1,0,5,6,11
S00089107,82,60,22,9,3,0,1,0,4,2,7
S00089108,92,69,23,5,0,0,4,0,6,6,11
S00089109,60,41,19,2,0,0,0,0,1,3,14
S00089110,109,78,31,3,1,1,2,3,4,7,21
S00089111,147,110,37,3,1,0,2,2,2,9,25
S00089112,151,96,55,9,5,3,5,4,11,9,27
S00089113,64,10,54,19,9,0,0,1,22,2,40
S00089114,117,80,37,6,3,0,2,1,8,12,23
S00089115,154,112,42,7,3,1,1,2,8,7,23
S00089116,206,175,31,3,1,1,2,3,4,11,16
S00089117,125,83,42,3,1,10,4,0,11,12,17
S00089118,145,104,41,6,3,0,0,0,6,1,32
S00089119,87,56,31,13,2,1,1,1,1,1,21
S00089120,77,52,25,2,0,2,0,1,2,2,18
S00089121,173,85,88,8,2,1,3,1,27,55,30
S00089122,65,42,23,4,2,1,2,0,6,5,15
S00089123,151,105,46,8,7,1,8,0,6,9,28
S00089124,105,69,36,6,4,0,2,0,12,10,21
S00089125,164,117,47,14,2,2,5,3,11,5,32
S00089126,116,87,29,6,1,0,2,2,8,3,19
S00089127,93,57,36,11,1,0,1,2,5,6,25
S00089128,97,69,28,3,2,0,3,0,11,4,18
S00089129,197,161,36,5,0,1,5,2,2,1,25
S00089130,93,65,28,5,4,0,1,2,5,2,15
S00089131,102,70,32,5,2,1,5,4,7,6,20
S00089132,87,69,18,5,0,0,1,0,2,1,14
S00089133,87,52,35,12,4,1,2,2,10,4,20
S00089134,129,75,54,21,3,1,0,0,13,7,31
S00089135,144,105,39,10,3,0,4,0,5,4,25
S00089136,112,72,40,10,3,0,2,2,12,2,27
S00089137,109,70,39,8,2,2,1,2,9,9,24
S00089138,55,4,51,26,13,0,0,0,18,3,37
S00089139,86,53,33,6,2,0,1,0,8,2,25
S00089140,100,69,31,9,2,0,3,0,8,5,18
S00089141,120,85,35,8,1,1,2,5,3,3,23
S00089142,137,97,40,10,3,2,1,1,8,1,26
S00089143,105,73,32,4,4,6,0,3,8,6,16
S00089144,91,50,41,7,0,0,4,2,10,4,26
S00089145,127,84,43,9,5,0,2,0,11,8,30
S00089146,117,81,36,9,3,0,5,0,7,3,26
S00089147,96,65,31,7,1,0,2,0,7,5,22
S00089148,123,95,28,5,3,0,2,1,3,10,14
S00089149,124,96,28,5,1,0,4,1,4,6,13
S00089150,151,95,56,13,1,0,2,0,16,17,32
S00089151,61,33,28,5,1,0,2,2,6,5,15
S00089152,54,23,31,9,1,0,0,0,6,8,18
S00089153,63,31,32,7,4,0,0,0,10,2,21
S00089154,72,46,26,3,3,6,1,3,7,5,16
S00089155,84,41,43,17,3,0,0,0,4,1,29
S00089156,129,68,61,8,3,2,2,1,27,7,49
S00089157,105,63,42,11,5,0,0,0,6,4,29
S00089158,136,95,41,8,3,1,4,1,5,5,28
S00089159,90,58,32,10,9,0,2,1,8,8,21
S00089160,112,73,39,15,5,0,3,2,8,1,22
S00089161,95,65,30,10,2,1,0,1,8,3,16
S00089162,77,45,32,2,0,1,4,0,3,7,21
S00089163,115,81,34,7,5,0,6,0,7,6,19
S00089164,78,39,39,11,2,0,2,0,11,6,22
S00089165,105,79,26,9,5,0,0,0,4,3,16
S00089166,150,110,40,10,6,0,1,0,7,6,27
S00089167,107,76,31,11,1,1,0,0,4,4,18
S00089168,64,7,57,33,14,0,0,0,21,6,32
S00089169,117,87,30,7,5,1,1,0,6,1,20
S00089170,90,59,31,5,2,0,1,1,13,5,19
S00089171,74,40,34,12,3,0,1,0,6,6,18
S00089172,64,45,19,4,2,0,0,0,4,6,12
S00089173,139,98,41,7,5,0,2,2,10,3,30
S00089174,161,97,64,12,5,1,8,2,11,16,42
S00089175,124,87,37,8,4,1,3,0,6,6,26
S00089176,102,83,19,4,2,1,0,0,2,6,12
S00089177,129,83,46,8,5,0,1,2,11,12,27
S00089178,149,99,50,14,2,0,3,4,9,6,30
S00089179,172,116,56,9,3,0,8,1,12,3,35
S00089180,134,99,35,8,5,0,2,1,6,4,22
S00089181,101,71,30,9,2,0,2,0,9,4,17
S00089182,114,87,27,6,2,0,0,1,4,0,16
S00089183,98,73,25,6,1,2,1,1,8,3,12
S00089184,137,115,22,4,1,0,1,2,4,1,16
S00089185,136,97,39,11,4,0,0,2,6,3,30
S00089186,114,105,9,4,2,0,1,0,1,0,5
S00089187,67,53,14,5,3,0,0,0,3,0,7
S00089188,146,112,34,10,2,1,1,2,4,1,20
S00089189,152,111,41,11,5,1,2,1,6,3,24
S00089190,113,93,20,3,2,0,2,0,3,1,14
S00089191,137,123,14,2,1,0,2,0,4,1,10
S00089192,111,97,14,5,5,0,0,0,1,0,5
S00089193,132,115,17,1,1,0,0,0,0,2,13
S00089194,153,104,49,14,12,0,1,0,16,5,33
S00089195,135,105,30,7,1,1,5,0,2,0,21
S00089196,119,93,26,5,2,1,1,0,8,0,19
S00089197,116,88,28,7,0,0,2,1,4,1,21
